Country	City	Location	FunctionName	Difference	Count
(World)		(World)	PriceStream	0	48322
(World)		(World)	PriceStream	0.2	1937213
(World)		(World)	PriceStream	0.4	799835
(World)		(World)	PriceStream	0.6	214756
(World)		(World)	PriceStream	0.8	99012
(World)		(World)	PriceStream	1	45533
(World)		(World)	PriceStream	1.2	29427
(World)		(World)	PriceStream	1.4	15659
(World)		(World)	PriceStream	1.6	10839
(World)		(World)	PriceStream	1.8	5129
Cambodia	(All)	Cambodia/(All)	PriceStream	0	1339
Cambodia	(All)	Cambodia/(All)	PriceStream	0.2	41312
Cambodia	(All)	Cambodia/(All)	PriceStream	0.4	17472
Cambodia	(All)	Cambodia/(All)	PriceStream	0.6	9814
Cambodia	(All)	Cambodia/(All)	PriceStream	0.8	6032
Cambodia	(All)	Cambodia/(All)	PriceStream	1	3386
Cambodia	(All)	Cambodia/(All)	PriceStream	1.2	2291
Cambodia	(All)	Cambodia/(All)	PriceStream	1.4	1713
Cambodia	(All)	Cambodia/(All)	PriceStream	1.6	1063
Cambodia	(All)	Cambodia/(All)	PriceStream	1.8	772
Cambodia	(All)	Cambodia/(All)	PriceStream	2	542
Cambodia	(All)	Cambodia/(All)	PriceStream	2.2	370
Cambodia	(All)	Cambodia/(All)	PriceStream	2.4	326
Cambodia	(All)	Cambodia/(All)	PriceStream	2.6	226
Cambodia	(All)	Cambodia/(All)	PriceStream	2.8	213
Cambodia	(All)	Cambodia/(All)	PriceStream	3	146
Cambodia	(All)	Cambodia/(All)	PriceStream	3.2	128
Cambodia	(All)	Cambodia/(All)	PriceStream	3.4	113
Cambodia	(All)	Cambodia/(All)	PriceStream	3.6	95
Cambodia	(All)	Cambodia/(All)	PriceStream	3.8	80
Cambodia	(All)	Cambodia/(All)	PriceStream	4	51
Ireland	(All)	Ireland/(All)	PriceStream	0	16361
Ireland	(All)	Ireland/(All)	PriceStream	0.2	420807
Ireland	(All)	Ireland/(All)	PriceStream	0.4	156850
Ireland	(All)	Ireland/(All)	PriceStream	0.6	26226
Ireland	(All)	Ireland/(All)	PriceStream	0.8	10023
Ireland	(All)	Ireland/(All)	PriceStream	1	6046
Ireland	(All)	Ireland/(All)	PriceStream	1.2	3912
Ireland	(All)	Ireland/(All)	PriceStream	1.4	2950
Ireland	(All)	Ireland/(All)	PriceStream	1.6	2353
Ireland	(All)	Ireland/(All)	PriceStream	1.8	2017
Ireland	(All)	Ireland/(All)	PriceStream	2	505
United Kingdom	(All)	United Kingdom/(All)	PriceStream	0	3250
United Kingdom	(All)	United Kingdom/(All)	PriceStream	0.2	58117
United Kingdom	(All)	United Kingdom/(All)	PriceStream	0.4	8185
United Kingdom	(All)	United Kingdom/(All)	PriceStream	0.6	1780
United Kingdom	(All)	United Kingdom/(All)	PriceStream	0.8	948
United Kingdom	(All)	United Kingdom/(All)	PriceStream	1	609
United Kingdom	(All)	United Kingdom/(All)	PriceStream	1.2	420
United Kingdom	(All)	United Kingdom/(All)	PriceStream	1.4	347
United Kingdom	(All)	United Kingdom/(All)	PriceStream	1.6	256
United Kingdom	(All)	United Kingdom/(All)	PriceStream	1.8	194
United Kingdom	(All)	United Kingdom/(All)	PriceStream	2	23
United Kingdom	London	United Kingdom/London	PriceStream	0	3250
United Kingdom	London	United Kingdom/London	PriceStream	0.2	58117
United Kingdom	London	United Kingdom/London	PriceStream	0.4	8185
United Kingdom	London	United Kingdom/London	PriceStream	0.6	1780
United Kingdom	London	United Kingdom/London	PriceStream	0.8	948
United Kingdom	London	United Kingdom/London	PriceStream	1	609
United Kingdom	London	United Kingdom/London	PriceStream	1.2	420
United Kingdom	London	United Kingdom/London	PriceStream	1.4	347
United Kingdom	London	United Kingdom/London	PriceStream	1.6	256
United Kingdom	London	United Kingdom/London	PriceStream	1.8	194
United Kingdom	London	United Kingdom/London	PriceStream	2	23
United States	(All)	United States/(All)	PriceStream	0	27372
United States	(All)	United States/(All)	PriceStream	0.2	1416977
United States	(All)	United States/(All)	PriceStream	0.4	617328
United States	(All)	United States/(All)	PriceStream	0.6	176936
United States	(All)	United States/(All)	PriceStream	0.8	82009
United States	(All)	United States/(All)	PriceStream	1	35492
United States	(All)	United States/(All)	PriceStream	1.2	22804
United States	(All)	United States/(All)	PriceStream	1.4	10649
United States	(All)	United States/(All)	PriceStream	1.6	6496
United States	Saddle River	United States/Saddle River	PriceStream	0	4679
United States	Saddle River	United States/Saddle River	PriceStream	0.2	739679
United States	Saddle River	United States/Saddle River	PriceStream	0.4	409649
United States	Saddle River	United States/Saddle River	PriceStream	0.6	57687
United States	Saddle River	United States/Saddle River	PriceStream	0.8	16983
United States	Saddle River	United States/Saddle River	PriceStream	1	10938
United States	Saddle River	United States/Saddle River	PriceStream	1.2	7337
United States	Saddle River	United States/Saddle River	PriceStream	1.4	5376
United States	Saddle River	United States/Saddle River	PriceStream	1.6	4429
United States	Saddle River	United States/Saddle River	PriceStream	1.8	3732
United States	Saddle River	United States/Saddle River	PriceStream	2	2585
United States	Seattle	United States/Seattle	PriceStream	0	22693
United States	Seattle	United States/Seattle	PriceStream	0.2	677298
United States	Seattle	United States/Seattle	PriceStream	0.4	207679
United States	Seattle	United States/Seattle	PriceStream	0.6	119249
United States	Seattle	United States/Seattle	PriceStream	0.8	65026
United States	Seattle	United States/Seattle	PriceStream	1	24554
United States	Seattle	United States/Seattle	PriceStream	1.2	15467
United States	Seattle	United States/Seattle	PriceStream	1.4	1023
