Country	City	Location	FunctionName	Count	Average	Min	LowerQuartile	Median	UpperQuartile	Max
(World)		(World)	CreateStreamingClient	115	0.0583538878260869565217391304	0	0	0.0156003	0.09375	0.546875
(World)		(World)	GetClientAndTradingAccount	115	0.3876491391304347826086956522	0.0489608	0.217	0.372	0.46875	2.28125
(World)		(World)	GetMarketInfo	142	1.1145793669014084507042253521	0	0.3744024	0.7265625	1.078125	9.766
(World)		(World)	GetPriceBars	86082	0.8389848430333867707534676239	0.0210021	0.421146	0.6707957	0.938	91.171875
(World)		(World)	ListActiveOrders	795465	0.7004431627319869510286436235	0	0.219	0.5459965	0.8424216	124.1906792
(World)		(World)	ListCfdMarkets	6	0.5047697	0.1855371	0.2055411	0.3264196	0.4056104	1.5790904
(World)		(World)	ListOpenPositions	795474	0.5517622333759494339224160689	0	0.156254	0.3095703	0.6406414	141.6598764
(World)		(World)	ListStopLimitOrderHistory	795409	0.7839150047814394858494183496	0	0.2500096	0.5625144	1.1232	123.1437774
(World)		(World)	ListTradeHistory	795360	0.7795855903624773687386843693	0	0.3593888	0.5320532	1.0296	123.050025
(World)		(World)	LogIn	115	2.3052083373913043478260869565	0.1048425	0.8601875	2.1411225	3.296875	7.781499
(World)		(World)	LogOut	85	0.4291641082352941176470588235	0.065901	0.1739826	0.3432044	0.453125	3.171875
(World)		(World)	PlaceTrade	9455	0.7855662008778424114225277631	0.188	0.389	0.6083961	0.78125	78.1242992
(World)		(World)	StreamingClient.Dispose	86	0.1653474825581395348837209302	0	0.0156002	0.0250007	0.0620035	3.353742
(World)		(World)	SubscribeClientAccountMargin	113	3.3328539309734513274336283186	0.2967624	1.5218478	3.125	4.203125	11.25
(World)		(World)	SubscribePriceStreams	164	2.310178279878048780487804878	0	0.2430955	1.6560105	3.4652497	12.75
(World)		(World)	UnsubscribePriceStream	63	0.000015873015873015873015873	0	0	0	0	0.001
Cambodia	(All)	Cambodia/(All)	CreateStreamingClient	40	0.1016520625	0	0.0153129	0.0775647	0.140625	0.546875
Cambodia	(All)	Cambodia/(All)	GetClientAndTradingAccount	40	0.59390142	0.421875	0.4590758	0.4917957	0.53995275	2.28125
Cambodia	(All)	Cambodia/(All)	GetMarketInfo	54	0.9728937444444444444444444444	0.078125	0.640625	0.984375	1.140625	3.390625
Cambodia	(All)	Cambodia/(All)	GetPriceBars	3881	2.2945448703684617366658077815	0.375	1.046875	1.234375	1.890625	91.171875
Cambodia	(All)	Cambodia/(All)	ListActiveOrders	13154	1.1485199929375095028128325984	0.03125	0.703125	0.796875	0.9062732	87.5625
Cambodia	(All)	Cambodia/(All)	ListCfdMarkets	1	1.5790904	1.5790904	1.5790904	1.5790904	1.5790904	1.5790904
Cambodia	(All)	Cambodia/(All)	ListOpenPositions	13163	1.0557194129757654030236268328	0	0.46875	0.609375	0.8125	69.328125
Cambodia	(All)	Cambodia/(All)	ListStopLimitOrderHistory	13129	1.2504896043491507350140909437	0.03125	0.671875	0.8594025	1.296875	58.84375
Cambodia	(All)	Cambodia/(All)	ListTradeHistory	13148	1.3799281698281107392759355035	0	0.703125	0.9531311	1.1875	61.09375
Cambodia	(All)	Cambodia/(All)	LogIn	40	3.8172210375	0.859375	3.03125	3.8356345	4.34375	7.781499
Cambodia	(All)	Cambodia/(All)	LogOut	25	0.6604435	0.375	0.421875	0.453125	0.5	3.171875
Cambodia	(All)	Cambodia/(All)	PlaceTrade	516	1.3449686199612403100775193798	0.75	0.859386	0.9375	1.078125	41.234375
Cambodia	(All)	Cambodia/(All)	StreamingClient.Dispose	25	0.029620404	0	0.015625	0.03125	0.03125	0.0910052
Cambodia	(All)	Cambodia/(All)	SubscribeClientAccountMargin	39	5.3390647615384615384615384615	2.515625	3.9609375	4.65625	6.078125	11.25
Cambodia	(All)	Cambodia/(All)	SubscribePriceStreams	62	3.5133053564516129032258064516	0	0.09375	2.7578125	5.625	12.75
Cambodia	(All)	Cambodia/(All)	UnsubscribePriceStream	20	0.00005	0	0	0	0	0.001
Ireland	(All)	Ireland/(All)	CreateStreamingClient	33	0.0115653424242424242424242424	0	0	0	0.0156001	0.1248072
Ireland	(All)	Ireland/(All)	GetClientAndTradingAccount	33	0.3639637060606060606060606061	0.2808036	0.3431978	0.351848	0.390005	0.4524058
Ireland	(All)	Ireland/(All)	GetMarketInfo	28	0.5477086142857142857142857143	0.1092	0.36355925	0.5928	0.64741585	1.0764207
Ireland	(All)	Ireland/(All)	GetPriceBars	32771	1.0106853468951206859723536053	0.2787876	0.7488	0.8735944	1.0296198	70.4647483
Ireland	(All)	Ireland/(All)	ListActiveOrders	161501	0.9545984873171063956260332753	0	0.5928	0.7488096	1.1699925	78.9510939
Ireland	(All)	Ireland/(All)	ListCfdMarkets	1	0.4056104	0.4056104	0.4056104	0.4056104	0.4056104	0.4056104
Ireland	(All)	Ireland/(All)	ListOpenPositions	161490	0.7880559945563192767354015729	0	0.3587954	0.5615964	1.0140065	56.8304357
Ireland	(All)	Ireland/(All)	ListStopLimitOrderHistory	161473	1.1620328445021768345172257901	0	0.7631989	1.0452067	1.3883911	65.7535785
Ireland	(All)	Ireland/(All)	ListTradeHistory	161456	1.1956379112730403329699732435	0	0.8268106	1.0764138	1.3521436	61.4324062
Ireland	(All)	Ireland/(All)	LogIn	33	1.9088525696969696969696969697	0.624008	0.7176092	2.4648158	2.652	3.432066
Ireland	(All)	Ireland/(All)	LogOut	27	0.4379590518518518518518518519	0.311998	0.32760315	0.3432044	0.452403	1.3572174
